DEPARTAMENTO,Municipio ,ID Estación,Estación,LONGITUD,LATITUD,Elevación,AÑO,EST,ENT,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOST,SEPTI,OCTUB,NOVIE,DICIE,VR ANUAL
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1986,2,1,230.6,155.3,159.1,307.2,527.0,204.1,178.1,201.5,305.8,359.8,396.1,225.4,3250.0
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1987,2,1,119.8,165.3,157.2,272.0,407.7,196.9,320.5,133.4,373.6,345.1,433.6,120.2,3045.3
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1988,2,1,58.8,225.4,78.5,328.3,224.4,432.9,249.3,519.5,535.0,363.8,501.5,369.8,3887.2
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1989,2,1,256.7,193.9,295.6,370.2,187.4,127.5,20.5,232.7,295.2,390.3,252.6,222.3,2844.9
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1990,2,1,256.8,275.9,148.0,359.2,104.8,355.3,437.9,211.7,233.0,260.8,331.6,282,3257.0
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1991,2,1,34.2,168.1,159.7,592.1,356.4,306.7,136.7,136.1,356.3,439.2,318.4,247.5,3251.4
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1992,2,1,115.7,119.9,287.8,161.2,541.0,154.5,74.7,118.6,232.1,375.1,229.5,469.69999999999999,2879.8
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1993,2,1,223.2,117.9,506.4,526.8,502.0,215.2,168.0,167.2,469.4,379.0,686.0,242,4203.1
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1994,2,1,125.0,368.0,357.0,,447.9,76.2,189.1,307.5,251.4,488.7,687.9,298.5,3984.0
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1995,2,1,88.0,18.5,375.6,385.7,571.9,281.6,480.5,385.9,310.4,298.4,559.4,591.20000000000005,4347.1
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1996,2,1,168.1,422.3,246.0,386.1,652.6,374.8,167.8,295.3,339.0,475.8,468.9,,3996.7
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1997,2,1,44.8,212.6,338.9,272.4,263.7,146.5,72.6,176.2,381.5,671.4,684.5,61.100000000000001,3326.2
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1998,2,1,191.3,219.8,231.2,406.1,375.9,293.2,314.9,165.7,348.6,718.8,430.1,452.60000000000002,4148.2
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,1999,2,1,272.8,400.8,128.7,395.3,569.0,505.0,195.8,448.4,465.5,567.5,399.8,267.89999999999998,4616.5
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,2000,2,1,77.2,265.1,217.0,508.5,408.9,311.4,335.9,385.4,649.2,564.2,205.6,415.60000000000002,4344.0
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,2001,2,1,325.0,30.9,580.0,143.4,303.1,213.0,202.9,51.3,455.2,334.6,305.6,277.10000000000002,3222.1
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,2002,2,1,147.8,106.5,381.2,498.7,287.8,369.2,184.2,200.0,312.1,410.6,378.3,469.5,3745.9
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,2003,2,1,66.5,215.4,230.9,451.5,389.2,461.6,193.5,241.1,484.5,592.5,277.5,320.5,3924.7
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,2004,2,1,87.8,76.7,301.3,386.1,588.4,221.6,278.1,169.9,466.6,522.8,355.8,318.30000000000001,3773.4
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,2005,2,1,151.8,72.2,356.1,507.3,475.4,364.2,,308.7,259.7,296.9,281.0,317.89999999999998,3507.5
ANTIOQUIA,Sonsón,230075010,Rio Claro,-74.5,5.5099999999999998,449,2006,2,1,258.0,251.9,276.2,594.7,356.8,319.8,204.0,224.4,251.0,559.0,548.3,386,4230.1
